,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
276,276,7.006122866353561,0.0,0.0,0.00875044087517689,0.00044864469744389435,0.005479407361236285,0.0007295746138715918,53.86589389040064,46.299873580236905,23.714096065653443,0.13141508286551584,0.0006494412001731495,8.500202047611857,7.62378021984659,-0.06343474325737997
277,277,7.006122866353561,0.0,0.0,0.008323676837822036,0.0004267640373548526,0.005212177965390407,0.0006939934332007306,54.23502230128441,46.666351907205915,23.898742596401455,0.13143878610355486,0.0006177681070595658,8.49923043568066,7.6233843273224995,-0.06344090412159033
278,278,7.006122866353561,0.0,0.0,0.007917726328171379,0.00040595050965065764,0.004957980977546056,0.0006601474974950084,54.60428000355555,47.032958597340354,24.083422431703916,0.13146249361750684,0.0005876396668866513,8.498295241657651,7.623002198250936,-0.06344676524062141
279,279,7.006122866353561,0.0,0.0,0.0075315742585006125,0.0003861520696707666,0.0047161808611688215,0.000627952186048001,54.97366704250028,47.39969369560137,24.26813557756713,0.13148620540737177,0.000558980553331238,8.497395220800085,7.622633430878026,-0.06345234119721671
280,280,7.006122866353561,0.0,0.0,0.00716425504749793,0.00036731921100268295,0.00448617306797992,0.0005973270041915843,55.343183463419706,47.766557246965434,24.45288203999918,0.13150992147359375,0.0005317191129217271,8.496529163321807,7.622277629942021,-0.0634576458647577
281,281,7.006122866353561,0.0,0.0,0.006814850205807791,0.0003494048416901385,0.00426738252749032,0.0005681953821797392,55.71282931163157,48.13354929642411,24.63766182501037,0.13153364181817118,0.0005057871860116536,8.495695893936874,7.621934406993829,-0.06346269244175813
282,282,7.006122866353561,0.0,0.0,0.006482486039329117,0.0003323641664786735,0.00405926221010137,0.0005404844838676236,56.08260463246939,48.500669888985826,24.822474938610117,0.13155736644065996,0.00048111993647264505,8.49489427136485,7.621603380670907,-0.0634674934846849
283,283,7.006122866353561,0.0,0.0,0.0061663314645249495,0.0003161545748041681,0.003861291760195786,0.0005141250247097515,56.45250947128222,48.86791906967414,25.007321386810055,0.13158109534239237,0.00045765568968291696,8.494123187802543,7.621284176928288,-0.06347206093917965
284,284,7.006122866353561,0.0,0.0,0.005865595930280713,0.00030073553424423674,0.0036729761958158636,0.0004890510986241585,56.82254387343533,49.23529688352857,25.192201175623154,0.1316048285242566,0.0004353357784079526,8.493381568366724,7.62097642923031,-0.0634764061697665
285,285,7.006122866353561,0.0,0.0,0.0055795274411146525,0.00028606848916606014,0.0034938446716905533,0.0004652000132913706,57.19270788430953,49.60280337560419,25.37711431106282,0.13162856598691874,0.0004141043961895407,8.492668370511776,7.62067977870627,-0.06348053998811459
286,286,7.006122866353561,0.0,0.0,0.005307410676797433,0.0002721167643172201,0.0033234493025298953,0.00044251213347787816,57.56300154930205,49.97043859097183,25.562060799143804,0.13165230773104497,0.00039390845787794254,8.49198258342616,7.6203938742731205,-0.06348447267992678
287,287,7.006122866353561,0.0,0.0,0.005048565203678967,0.0002588454731184657,0.0031613640436546566,0.0004209307319937041,57.93342491382525,50.33820257471855,25.747040645881512,0.13167605375752345,0.00037469746695965465,8.491323227411055,7.620118372728013,-0.06348821403052157
288,288,7.006122866353561,0.0,0.0,0.004802343773249874,0.00024622143042909316,0.0030071836261711692,0.0004004018479125803,58.30397802330833,50.7060953719467,25.932053857292914,0.13169980406657622,0.00035642338935008605,8.490689353244376,7.619852938813351,-0.06349177334917167
289,289,7.006122866353561,0.0,0.0,0.004568130703683065,0.0002342130695668089,0.002860522544036708,0.00038087415170127005,58.67466092319562,51.07411702777509,26.117100439396303,0.1317235586597576,0.0003390405333365103,8.49008004153306,7.619597245256823,-0.06349515949225813
290,290,7.006122866353561,0.0,0.0,0.004345340340308484,0.00022279036337458135,0.0027210140904895663,0.0003622988169217229,59.045473658947635,51.44226758733738,26.30218039821086,0.13174731753773372,0.00032250543537191696,8.489494402056266,7.6193509727886655,-0.0634983808853007
291,291,7.006122866353561,0.0,0.0,0.004133415591171376,0.00021192474913710798,0.0025883094414405976,0.00034462939818607666,59.41641627604133,51.81054709578392,26.487293739756225,0.13177108070094867,0.00030677675143492387,8.488931573101912,7.619113810138317,-0.06350144554391535
292,292,7.006122866353561,0.0,0.0,0.003931826534012227,0.0002015890571591494,0.00246207678353969,0.00032782171506005696,59.78748881996854,52.17895559828012,26.672440470054013,0.13179484815051268,0.00029181515368474035,8.48839072079873,7.618885454012413,-0.06350436109375336
293,293,7.006122866353561,0.0,0.0,0.0037400690911850876,0.00019175744282713924,0.002342000484741713,0.0003118337416251163,60.158691336237744,52.54749314000806,26.857620595126086,0.13181861988664778,0.0002775832321533371,8.487871038445904,7.6186656090559435,-0.06350713478947113
294,294,7.006122866353561,0.0,0.0,0.0035576637692008996,0.00018240532198418824,0.0022277803053021746,0.00029662550142372645,60.53002387037343,52.916159766164924,27.042834120996062,0.1318423959104642,0.0002640454012295071,8.487371745842031,7.618453987798284,-0.06350977353277681
295,295,7.006122866353561,0.0,0.0,0.0033841544597440127,0.00017350930945688681,0.002119130647233428,0.00028215896752563325,60.9014864679156,53.28495552196411,27.228081053688456,0.13186617622285013,0.0002511678107014233,8.486892088615114,7.618250310585636,-0.06351228388959997
296,296,7.006122866353561,0.0,0.0,0.003219107299163822,0.00016504716058019075,0.00201577984034799,0.0002683979674656289,61.27307917442071,53.653880452634525,27.413361399228897,0.13188996082447169,0.00023891826113564725,8.486431337555068,7.618054305501373,-0.063514672106426
297,297,7.006122866353561,0.0,0.0,0.00306210958358965,0.00015699771557417178,0.0019174694631066355,0.0002553080928155264,61.64480203546052,54.022934603421334,27.598675163644117,0.13191374971621705,0.00022726612338133816,8.48598878795004,7.617865708275584,-0.06351694412583615
298,298,7.006122866353561,0.0,0.0,0.002912768736956104,0.0001493408466335462,0.0018239536965756185,0.000242856613164563,62.01665509662347,54.39211801958543,27.784022352961514,0.13193754289853032,0.000216182261998688,8.485563758927817,7.617684262185084,-0.06351910560129177
